authority_name;permission_name
SUPER_ADMIN;SuperAccess
INSTITUTE_ADMIN;InstituteFullAccess
PARENT;ParentAccess
FACULTY;StudentDirectoryReadOnlyAccess
FACULTY;StudentNotificationFullAccess
FACULTY;StudentAttendanceFullAccess
FACULTY;CourseReadOnlyAccess
FACULTY;ResultEntryAccess
FACULTY;CurriculumReadOnlyAccess
HR_MANAGER;StaffDirectoryFullAccess
HR_MANAGER;StaffNotificationFullAccess
HR_MANAGER;StaffAttendanceFullAccess
HR_MANAGER;StaffAllocationFullAccess
HR_MANAGER;StaffPayrollFullAccess
STUDENT_MANAGER;StudentDirectoryFullAccess
STUDENT_MANAGER;StudentNotificationFullAccess
STUDENT_MANAGER;StudentAttendanceFullAccess
STUDENT_MANAGER;StudentAllocationFullAccess
ACADEMICS_MANAGER;CourseFullAccess
ACADEMICS_MANAGER;CurriculumFullAccess
ACADEMICS_MANAGER;ResultEntryAccess
CURRICULUM_MANAGER;CourseReadOnlyAccess
CURRICULUM_MANAGER;CurriculumFullAccess
CURRICULUM_MANAGER;ResultPublishAccess
