id,gsd_id,day_of_week,course_teacher_id,created_by
1,1,1,1,staff
2,2,1,2,staff
3,3,1,3,staff
4,5,1,4,staff
5,7,1,6,staff
6,8,1,1,staff
7,1,2,1,staff
8,2,2,2,staff
9,3,2,3,staff
10,5,2,4,staff
11,7,2,6,staff
12,8,2,2,staff
13,1,3,1,staff
14,2,3,2,staff
15,3,3,3,staff
16,5,3,4,staff
17,7,3,6,staff
18,8,3,3,staff
19,1,4,1,staff
20,2,4,2,staff
21,3,4,3,staff
22,5,4,4,staff
23,7,4,6,staff
24,8,4,4,staff
25,1,5,1,staff
26,2,5,2,staff
27,3,5,3,staff
28,5,5,4,staff
29,7,5,6,staff
30,8,5,5,staff
31,1,6,1,staff
32,2,6,2,staff
33,3,6,3,staff
34,5,6,4,staff
35,9,1,7,staff
36,10,1,13,staff
37,11,1,14,staff
38,13,1,15,staff
39,15,1,9,staff
40,16,1,9,staff
41,9,2,7,staff
42,10,2,13,staff
43,11,2,14,staff
44,13,2,8,staff
45,15,2,11,staff
46,16,2,11,staff
47,9,3,7,staff
48,10,3,13,staff
49,11,3,14,staff
50,13,3,12,staff
51,15,3,8,staff
52,16,3,8,staff
53,9,4,7,staff
54,10,4,13,staff
55,11,4,14,staff
56,13,4,15,staff
57,15,4,8,staff
58,16,4,12,staff
59,9,5,7,staff
60,10,5,13,staff
61,11,5,14,staff
62,13,5,8,staff
63,15,5,10,staff
64,16,5,10,staff
65,9,6,13,staff
66,10,6,13,staff
67,11,6,14,staff
68,13,6,7,staff
69,15,6,12,staff
70,16,6,12,staff
