id,created_by,last_modified_by,grade,section,class_teacher_id,term_id
1,staff,staff,I,A,1,1
2,staff,staff,I,B,2,1
3,staff,staff,II,B,4,1
4,staff,staff,II,A,6,1
5,staff,staff,III,A,9,1
6,staff,staff,III,B,10,1
7,staff,staff,IV,A,11,1
8,staff,staff,IV,B,13,1
9,staff,staff,V,B,14,1
10,staff,staff,V,A,15,1
11,staff,staff,VI,A,16,1
12,staff,staff,VII,A,17,1
13,staff,staff,VII,B,18,1
14,staff,staff,VI,B,19,1
17,staff,staff,VIII,A,26,1
18,staff,staff,VIII,B,29,1
19,staff,staff,IX,A,12,1
20,staff,staff,IX,B,27,1
21,staff,staff,X,B,28,1
22,staff,staff,X,A,22,1
23,staff,staff,XI,A,23,1
24,staff,staff,XI,B,24,1
25,staff,staff,XII,A,20,1
26,staff,staff,XII,B,3,1
27,staff,staff,LKG,I,31,1
28,staff,staff,LKG,II,32,1
29,staff,staff,UKG,II,33,1
30,staff,staff,UKG,I,34,1
31,staff,staff,I,Alpha,35,1
32,staff,staff,II,Alpha,36,1
33,staff,staff,III,Alpha,37,1
34,staff,staff,IV,Alpha,38,1
35,staff,staff,V,Alpha,39,1
36,staff,staff,VI,Alpha,40,1
37,staff,staff,VII,Alpha,41,1
38,staff,staff,VIII,Alpha,42,1
39,staff,staff,IX,Alpha,43,1
40,staff,staff,X,Alpha,44,1
41,staff,staff,X,Beta,45,1
42,staff,staff,IX,Beta,46,1
43,staff,staff,VIII,Beta,47,1
44,staff,staff,VII,Beta,48,1
45,staff,staff,VI,Beta,49,1
46,staff,staff,V,Beta,50,1
47,staff,staff,IV,Beta,51,1
48,staff,staff,III,Beta,52,1
49,staff,staff,II,Beta,53,1
50,staff,staff,I,Beta,54,1
51,staff,staff,XI,Beta,55,1
52,staff,staff,XII,Beta,56,1
53,staff,staff,XII,Alpha,57,1
54,staff,staff,XI,Alpha,58,1
