created_by,roll_no,id,student_id,standard_id,active
staff,1,1,1,1,true
staff,2,2,2,1,true
staff,3,3,3,1,true
staff,4,4,4,1,true
staff,5,5,5,2,true
staff,6,6,6,2,true
staff,7,7,7,2,true
staff,8,8,8,2,true
staff,9,9,9,4,true
staff,10,10,10,4,true
staff,11,11,11,4,true
staff,12,12,12,4,true
staff,13,13,13,3,true
staff,14,14,14,3,true
staff,15,15,15,3,true
staff,16,16,16,3,true
staff,17,17,17,10,true
staff,18,18,18,10,true
staff,19,19,19,10,true
staff,20,20,20,10,true
staff,21,21,21,9,true
staff,22,22,22,9,true
staff,23,23,23,9,true
staff,24,24,24,9,true
staff,25,25,25,19,true
staff,26,26,26,19,true
staff,27,27,27,19,true
staff,28,28,28,19,true
staff,29,29,29,20,true
staff,30,30,30,20,true
staff,31,31,31,20,true
staff,32,32,32,20,true
staff,33,33,33,22,true
staff,34,34,34,22,true
staff,35,35,35,22,true
staff,36,36,36,22,true
staff,37,37,37,21,true
staff,38,38,38,21,true
staff,39,39,39,21,true
staff,40,40,40,21,true
staff,41,41,41,23,true
staff,42,42,42,23,true
staff,43,43,43,23,true
staff,44,44,44,23,true
staff,45,45,45,24,true
staff,46,46,46,24,true
staff,47,47,47,24,true
staff,48,48,48,24,true
staff,49,49,49,25,true
staff,50,50,50,25,true
staff,51,51,51,25,true
staff,52,52,52,25,true
staff,53,53,53,26,true
staff,54,54,54,26,true
staff,55,55,55,26,true
staff,56,56,56,26,true
staff,57,57,57,52,true
staff,58,58,58,52,true
staff,59,59,59,52,true
staff,60,60,60,52,true
staff,61,61,61,53,true
staff,62,62,62,53,true
staff,63,63,63,53,true
staff,64,64,64,53,true
staff,65,65,65,54,true
staff,66,66,66,54,true
staff,67,67,67,54,true
staff,68,68,68,54,true
staff,69,69,69,51,true
staff,70,70,70,51,true
staff,71,71,71,51,true
staff,72,72,72,51,true
staff,73,73,73,41,true
staff,74,74,74,41,true
staff,75,75,75,41,true
staff,76,76,76,41,true
staff,77,77,77,40,true
staff,78,78,78,40,true
staff,79,79,79,40,true
staff,80,80,80,40,true
staff,81,81,81,39,true
staff,82,82,82,39,true
staff,83,83,83,39,true
staff,84,84,84,39,true
staff,85,85,85,42,true
staff,86,86,86,42,true
staff,87,87,87,42,true
staff,88,88,88,42,true
staff,89,89,89,40,true
staff,90,90,90,40,true
staff,91,91,91,40,true
staff,92,92,92,40,true
staff,93,93,93,41,true
staff,94,94,94,41,true
staff,95,95,95,41,true
staff,96,96,96,41,true
staff,97,97,97,27,true
staff,98,98,98,27,true
staff,99,99,99,27,true
staff,100,100,100,27,true
staff,101,101,101,28,true
staff,102,102,102,28,true
staff,103,103,103,28,true
staff,104,104,104,28,true
staff,105,105,105,29,true
staff,106,106,106,29,true
staff,107,107,107,29,true
staff,108,108,108,29,true
staff,109,109,109,30,true
staff,110,110,110,30,true
staff,111,111,111,30,true
staff,112,112,112,30,true
